"name";"instance";"filename";"n";"m";"inkratio";"mean_occupation_area";"edge_density_distribution";"distortion";"frechet";"directionality";"monotonicity";"projected_monotonicity";"SL_angle";"self_intersections";"mean_edge_length_difference";"directionality_mag";"ambiguity_1";"accuracy_1";"precision_1";"specificity_1";"FPR_1";"ambiguity_2";"accuracy_2";"precision_2";"specificity_2";"FPR_2";"ambiguity_3";"accuracy_3";"precision_3";"specificity_3";"FPR_3";"ambiguity_4";"accuracy_4";"precision_4";"specificity_4";"FPR_4";"ambiguity_5";"accuracy_5";"precision_5";"specificity_5";"FPR_5";"inkratio_t";"ambiguity_t";"mean_occupation_area_t";"edge_density_distribution_t";"distortion_t";"frechet_t";"directionality_t";"monotonicity_t";"projected_monotonicity_t";"SL_angle_t";"self_intersections_t";"mean_edge_length_difference_t";"directionality_mag_t"
"cubu";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/cubu.json";252;637;0.5542;6.7802;0.0795;1.0709;29.0486;0.2811;0.1258;0.0002;0.4906;0.4906;14.4468;13.8769;0.513;0.0516;1;0.8135;0;0.8981;0.0253;0.5737;0.1628;0.0277;0.989;0.0208;0.5169;0.0172;0.0325;1;0.0201;0.513;0;0.0332;1;0.0201;0.513;0;0.0332;437.9787;39503.8056;91.5701;99.8745;6.4726;438.0572;8.2118;27.6654;10.3786;1.2569;0;6.1159;42.4612
"epb";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/epb.json";252;637;0.6935;7.54;0.0985;1.0608;39.6223;0.0079;0.0017;0.0013;0.4906;0;30.004;0.9794;0.6582;0.0424;1;0.6389;0;0.9454;0.0225;0.6951;0.0929;0.0211;0.9968;0.0202;0.6595;0.0046;0.0236;1;0.0201;0.6582;0;0.0236;1;0.0201;0.6582;0;0.0236;422.1563;37957.3555;95.685;108.7227;4.5764;2459.547;9.8329;18.2931;8.6524;1.2641;674.3391;4.4932;113.1318
"fd";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/fd.json";252;637;0.9281;11.2386;0.1236;1.0031;6.7658;0.2803;0.1314;0.0062;0.4906;0;0.7582;0.2054;0.8235;0.0261;1;0.5079;0;0.9502;0.0213;0.8667;0.125;0.0051;0.9939;0.0203;0.8291;0.0165;0.0062;0.9959;0.0202;0.8275;0.0098;0.0062;1;0.0201;0.8235;0;0.0064;408.0684;36107.4908;104.7454;122.9889;16.4151;8423.9805;15.1794;39.2556;18.5154;1.2658;1621.6667;8.2631;297.7915
"sepb";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/sepb.json";252;637;0.6866;7.394;0.0978;1.0665;40.4899;0.0091;0.0017;0.0013;0.4906;0;32.7148;1.0509;0.6693;0.044;1;0.5952;0;0.95;0.0224;0.7053;0.0866;0.0229;0.9933;0.0204;0.6717;0.0091;0.025;1;0.0201;0.6693;0;0.0253;1;0.0201;0.6693;0;0.0253;416.6508;38380.2502;94.2001;102.3929;4.4482;2314.0676;9.589;17.4294;8.1072;1.2596;699.0686;4.127;105.6843
"wr";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/wr.json";252;637;0.5992;7.8038;0.0845;1.0612;29.4253;0.0366;0.0018;0.0012;0.4906;0;17.1097;1.9832;0.6552;0.0436;1;0.6429;0;0.9316;0.0238;0.693;0.1109;0.021;0.987;0.0207;0.6607;0.0188;0.0242;0.9975;0.0201;0.6574;0.0048;0.0249;1;0.0201;0.6552;0;0.0249;403.4219;40172.0042;91.9478;124.8853;8.0583;4684.2139;12.8849;33.3238;15.4767;1.2612;1301.0807;7.9732;214.6876
"cubu";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/cubu.json";122;365;0.5339;6.8;0.0546;1.0643;30.1806;0.3244;0.1531;0;0.5;0.5;15.4951;10.9388;0.5288;0.1254;1;0.7623;0;0.9605;0.054;0.5445;0.0604;0.0804;1;0.0491;0.5288;0;0.086;1;0.0491;0.5288;0;0.086;1;0.0491;0.5288;0;0.086;247.0698;21317.9853;75.1264;91.1017;5.0569;310.8966;5.7645;18.1889;6.6206;0.7598;0;3.8779;32.3379
"epb";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/epb.json";122;365;0.6484;7.3644;0.066;1.0604;34.3292;0.0067;0.0019;0.0015;0.5;0;25.9371;1.0058;0.6044;0.1098;1;0.6885;0;0.9566;0.0528;0.6334;0.0711;0.0647;1;0.0491;0.6044;0;0.069;1;0.0491;0.6044;0;0.069;1;0.0491;0.6044;0;0.069;307.8785;19.944;76.5817;81.496;2.814;1518.5094;5.7473;11.7917;5.2817;0.7241;474.4189;2.6591;70.8957
"fd";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/fd.json";122;365;0.8983;10.5342;0.088;1.0041;9.4032;0.2468;0.1138;0.0055;0.5;0;1.3317;0.2731;0.7685;0.0728;1;0.5738;0;0.953;0.0523;0.8075;0.0956;0.0234;1;0.0491;0.7685;0;0.0271;1;0.0491;0.7685;0;0.0271;1;0.0491;0.7685;0;0.0271;288.9097;16755.5823;74.3277;92.0699;4.7879;4789.3827;8.5418;21.5931;10.4196;0.7238;901.5131;4.7674;161.9945
"sepb";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/sepb.json";122;365;0.6406;7.2932;0.0653;1.0601;34.6236;0.0076;0.0019;0.0015;0.5;0;26.1766;1.0368;0.5934;0.113;1;0.6885;0;0.9573;0.0528;0.6217;0.0696;0.0685;1;0.0491;0.5934;0;0.0728;1;0.0491;0.5934;0;0.0728;1;0.0491;0.5934;0;0.0728;258.6806;18549.2072;74.1651;80.5671;2.7955;1510.8082;5.8191;11.9097;5.5738;0.7377;403.0902;2.6941;68.3341
"wr";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/wr.json";122;365;0.589;8.0794;0.0593;1.0622;26.2776;0.0377;0.0031;0.0023;0.5;0;13.4263;2.0593;0.629;0.0993;1;0.6803;0;0.9541;0.054;0.6534;0.0702;0.0513;1;0.0491;0.629;0;0.0569;1;0.0491;0.629;0;0.0569;1;0.0491;0.629;0;0.0569;282.2535;18246.1822;73.7176;79.8557;4.3697;2738.8067;7.9546;23.8442;9.2971;0.7591;762.2085;4.7326;126.5338
"cubu";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/cubu.json";201;426;0.6342;4.6221;0.0815;1.0643;13.7482;0.2595;0.117;0.0022;0.5844;0.5844;6.1456;13.4393;0.6691;0.0433;1;0.6468;0;0.9399;0.0246;0.7068;0.1156;0.0196;0.994;0.0214;0.6726;0.0132;0.0229;1;0.0211;0.6691;0;0.0232;1;0.0211;0.6691;0;0.0232;272.943;9174.5937;35.713;38.0063;4.0846;190.872;5.4219;18.564;6.8748;0.8805;0;4.617;22.8352
"epb";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/epb.json";201;426;0.7066;4.7277;0.0905;1.038;11.7617;0.0068;0.0017;0.0014;0.5844;0.0001;7.6276;0.756;0.6536;0.048;1;0.6368;0;0.9279;0.0258;0.7026;0.1384;0.0234;0.9907;0.0214;0.66;0.0193;0.028;1;0.0211;0.6536;0;0.0284;1;0.0211;0.6536;0;0.0284;294.2989;9361.1367;35.8827;37.997;2.7804;1477.1986;6.4433;11.1804;5.2144;0.8445;481.3423;2.697;67.0719
"fd";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/fd.json";201;426;0.8745;5.8732;0.1083;1.0028;3.4368;0.3491;0.1781;0.0065;0.5844;0;0.398;0.2008;0.8293;0.0296;1;0.4428;0;0.9757;0.0219;0.8507;0.0687;0.008;0.9982;0.0211;0.831;0.0053;0.0088;1;0.0211;0.8293;0;0.0089;1;0.0211;0.8293;0;0.0089;267.1459;8824.5995;35.9359;38.2233;5.5523;5500.1907;10.0417;26.0036;12.9745;0.8566;1018.2886;5.5873;189.6911
"sepb";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/sepb.json";201;426;0.711;4.7864;0.091;1.036;10.8688;0.007;0.0019;0.0014;0.5844;0;7.2742;0.7269;0.6706;0.0478;1;0.5871;0;0.9354;0.0256;0.7128;0.1176;0.0235;0.9909;0.0214;0.6768;0.0184;0.0278;1;0.0211;0.6706;0;0.0282;1;0.0211;0.6706;0;0.0282;283.1526;9441.9329;35.6693;37.9376;2.5234;1306.0362;6.2096;9.8593;4.6952;0.849;432.1399;2.4247;58.6824
"wr";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/wr.json";201;426;0.7202;5.2746;0.0905;1.0783;14.5809;0.0248;0.0005;0.0003;0.5844;0;7.2411;1.7024;0.7173;0.0402;1;0.5622;0;0.9553;0.0234;0.7473;0.0916;0.0176;0.9992;0.0211;0.7175;0.0012;0.02;1;0.0211;0.7173;0;0.02;1;0.0211;0.7173;0;0.02;299.2358;9529.3479;35.7909;38.3253;5.2323;3103.4713;8.631;22.9218;10.4964;0.8528;922.0715;5.2218;141.1307
"cubu";"geo_Europe_airports";"dashboard/output_dashboard/geo_Europe_airports/cubu.json";561;5203;0.6297;0.7417;0.2072;1.1601;38.8565;0.3308;0.1611;0.01;0.5393;0.5393;32.0171;12.5585;0.1668;0.2741;1;0.975;0;0.7851;0.0854;0.1979;0.2385;0.2024;0.9963;0.0337;0.1671;0.0042;0.2559;1;0.0331;0.1668;0;0.2564;1;0.0331;0.1668;0;0.2564;3002.6858;1377435.962;41.0416;43.3874;53.3724;5863.04;74.064;235.2829;91.8646;10.0386;0;54.1699;574.0638
"epb";"geo_Europe_airports";"dashboard/output_dashboard/geo_Europe_airports/epb.json";561;5203;0.7548;0.8168;0.2424;1.0848;34.1384;0.0222;0.004;0.0029;0.5393;0;23.9779;1.878;0.2161;0.2255;1;0.9519;0;0.8463;0.0592;0.2518;0.1813;0.1789;0.9994;0.0331;0.2162;0.0006;0.206;1;0.0331;0.2161;0;0.206;1;0.0331;0.2161;0;0.206;3093.2858;963152.9138;41.07;43.7794;51.8303;30879.2732;95.8965;228.8106;105.4249;9.7756;9645.5932;53.1721;1411.1121
"fd";"geo_Europe_airports";"dashboard/output_dashboard/geo_Europe_airports/fd.json";561;5203;0.8611;0.8724;0.2713;1.0673;32.164;0.159;0.0574;0.0066;0.5393;0.0005;19.0004;1.3068;0.2452;0.2338;1;0.9412;0;0.8287;0.0683;0.281;0.2046;0.1779;0.9981;0.0333;0.2454;0.002;0.2141;1;0.0331;0.2452;0;0.2143;1;0.0331;0.2452;0;0.2143;3132.1547;896681.0072;41.0912;43.9103;67.3366;67400.794;123.868;308.3394;150.4781;10.1123;15100.764;67.8902;2321.0311
"sepb";"geo_Europe_airports";"dashboard/output_dashboard/geo_Europe_airports/sepb.json";561;5203;0.7525;0.8205;0.2413;1.0942;35.3179;0.024;0.0049;0.0036;0.5393;0;26.1994;2.1077;0.2065;0.2328;1;0.9501;0;0.8351;0.0611;0.2497;0.1968;0.1846;0.9981;0.0331;0.2076;0.003;0.2136;1;0.0331;0.2065;0;0.2137;1;0.0331;0.2065;0;0.2137;3119.5297;991598.707;41.0755;43.5178;51.7783;31043.9866;97.5401;228.5545;106.4002;9.8391;9767.2107;52.4991;1401.6926
"wr";"geo_Europe_airports";"dashboard/output_dashboard/geo_Europe_airports/wr.json";561;5203;0.6135;0.7853;0.1989;1.0578;23.2365;0.0708;0.0056;0.0037;0.5393;0;12.2722;3.0257;0.2082;0.2218;1;0.9447;0;0.8196;0.0642;0.2401;0.2041;0.1697;0.9979;0.0333;0.2083;0.0022;0.2019;1;0.0331;0.2082;0;0.2021;1;0.0331;0.2082;0;0.2021;3070.7712;862181.6683;41.0602;43.4997;63.6597;37994.659;108.65;283.8912;128.7994;10.0748;11236.7637;64.3017;1730.1433
"cubu";"geo_France_airports";"dashboard/output_dashboard/geo_France_airports/cubu.json";46;155;0.4484;18.6194;0.0761;1.0445;41.4214;0.4516;0.2457;0;0.5633;0;27.8075;7.64;0.2812;0.4272;1;1;0;0.7619;0.2164;0.3687;0.2992;0.2661;0.9908;0.1484;0.2836;0.0119;0.3439;1;0.1465;0.2812;0;0.3461;1;0.1465;0.2812;0;0.3461;93.5738;8599.8752;61.6841;66.8831;2.0824;740.8466;3.1326;8.1887;3.5098;0.3223;219.9054;2.1036;38.2943
"epb";"geo_France_airports";"dashboard/output_dashboard/geo_France_airports/epb.json";46;155;0.731;26.5936;0.1178;1.0534;77.1509;0.0063;0.0012;0.0008;0.5633;0;39.5903;0.8841;0.6622;0.2221;1;0.7609;0;0.8894;0.1578;0.757;0.2275;0.0826;1;0.1465;0.6622;0;0.0959;1;0.1465;0.6622;0;0.0959;1;0.1465;0.6622;0;0.0959;94.3563;7767.4756;57.9998;62.4056;1.3251;708.472;2.5706;5.404;2.5106;0.3321;198.0221;1.2505;32.0864
"fd";"geo_France_airports";"dashboard/output_dashboard/geo_France_airports/fd.json";46;155;0.8956;32.1806;0.139;1.0017;17.234;0.1528;0.0658;0.0033;0.5633;0;1.3454;0.1925;0.7143;0.2032;1;0.7609;0;0.8957;0.1588;0.801;0.2014;0.0585;0.9903;0.1474;0.7186;0.014;0.0723;1;0.1465;0.7143;0;0.0732;1;0.1465;0.7143;0;0.0732;106.6709;6233.9697;57.6734;62.6559;2.075;2017.8657;3.7482;9.284;4.7588;0.3209;413.3008;2.0518;68.9828
"sepb";"geo_France_airports";"dashboard/output_dashboard/geo_France_airports/sepb.json";46;155;0.736;26.0064;0.1191;1.0525;75.9006;0.0077;0.0012;0.0008;0.5633;0;39.6684;0.9325;0.6426;0.2287;1;0.8044;0;0.8879;0.1588;0.7391;0.2361;0.0894;1;0.1465;0.6426;0;0.1041;1;0.1465;0.6426;0;0.1041;1;0.1465;0.6426;0;0.1041;146.2634;7480.2413;57.6794;62.6914;1.286;689.2071;2.6233;5.4088;2.4369;0.3231;248.7194;1.3256;31.3208
"wr";"geo_France_airports";"dashboard/output_dashboard/geo_France_airports/wr.json";46;155;0.4715;18.471;0.0801;1.0483;72.0858;0.0603;0.0004;0.0001;0.5633;0;33.5971;2.0902;0.4119;0.3195;1;0.9783;0;0.7658;0.1909;0.5567;0.3619;0.1628;0.9958;0.1474;0.4125;0.0048;0.2135;1;0.1465;0.4119;0;0.2145;1;0.1465;0.4119;0;0.2145;96.2164;8579.4818;57.121;61.6527;2.1458;1163.6679;3.6831;9.6097;4.3881;0.3431;334.6815;2.2912;55.3072
"cubu";"geo_Germany_airports";"dashboard/output_dashboard/geo_Germany_airports/cubu.json";24;72;0.6466;47.2778;0.0575;1.0356;52.0391;0.4982;0.2944;0;0.4802;0;33.636;7.742;0.4342;0.5174;1;1;0;0.7993;0.3333;0.5548;0.282;0.2615;1;0.25;0.4342;0;0.359;1;0.25;0.4342;0;0.359;1;0.25;0.4342;0;0.359;63.3955;4504.0367;85.1409;92.6387;0.9713;420.6908;1.7109;4.4844;1.8563;0.1724;132.3478;0.9613;22.012
"epb";"geo_Germany_airports";"dashboard/output_dashboard/geo_Germany_airports/epb.json";24;72;0.9247;67.9583;0.0787;1.0441;97.1266;0.0033;0;0;0.4802;0;53.6843;0.783;0.7823;0.316;1;0.75;0;0.9341;0.2639;0.8364;0.1667;0.0736;1;0.25;0.7823;0;0.0898;1;0.25;0.7823;0;0.0898;1;0.25;0.7823;0;0.0898;61.7399;3986.3832;84.636;92.325;0.5937;277.0793;1.154;2.1675;1.008;0.1586;82.7031;0.5484;12.6357
"fd";"geo_Germany_airports";"dashboard/output_dashboard/geo_Germany_airports/fd.json";24;72;1.0015;78.6667;0.0832;1.0005;14.6624;0.2298;0.0909;0.0023;0.4802;0;0.5926;0.1124;0.9267;0.2639;1;0.2917;0;0.942;0.2604;0.9847;0.2083;0.0043;1;0.25;0.9267;0;0.0164;1;0.25;0.9267;0;0.0164;1;0.25;0.9267;0;0.0164;62.3403;3734.246;87.4691;94.0132;1.05;936.8322;1.96;4.6923;2.1186;0.1652;162.1201;0.9775;31.8236
"sepb";"geo_Germany_airports";"dashboard/output_dashboard/geo_Germany_airports/sepb.json";24;72;0.9096;66.9861;0.0775;1.0532;108.5724;0.0044;0;0;0.4802;0;63.9231;0.8309;0.7815;0.3125;1;0.75;0;0.9572;0.2569;0.8169;0.0903;0.0793;1;0.25;0.7815;0;0.0873;1;0.25;0.7815;0;0.0873;1;0.25;0.7815;0;0.0873;61.9042;4103.5564;85.7298;92.0672;0.5918;281.5082;1.3225;2.2185;1.0192;0.1633;82.7148;0.5558;12.723
"wr";"geo_Germany_airports";"dashboard/output_dashboard/geo_Germany_airports/wr.json";24;72;0.6769;47.9583;0.0602;1.0434;97.6919;0.0525;0;0;0.4802;0;40.827;1.7448;0.64;0.3507;1;0.9583;0;0.863;0.2847;0.7425;0.2604;0.0942;1;0.25;0.64;0;0.1346;1;0.25;0.64;0;0.1346;1;0.25;0.64;0;0.1346;64.4834;4846.2739;85.3808;93.339;1.0853;539.0668;1.6232;3.963;1.8136;0.1602;178.1261;0.9179;23.8161
"cubu";"geo_India_airports";"dashboard/output_dashboard/geo_India_airports/cubu.json";67;178;0.5645;15.6854;0.0488;1.0545;37.6765;0.3825;0.2055;0;0.4751;0;19.667;9.5687;0.4959;0.1849;1;0.8358;0;0.99;0.0806;0.5011;0.0186;0.1196;1;0.0793;0.4959;0;0.121;1;0.0793;0.4959;0;0.121;1;0.0793;0.4959;0;0.121;101.3343;9797.0636;90.5268;98.3169;1.9445;242.5702;2.5263;8.358;3.2456;0.3674;117.5301;1.8606;20.7598
"epb";"geo_India_airports";"dashboard/output_dashboard/geo_India_airports/epb.json";67;178;0.7818;19.5337;0.0665;1.056;51.679;0.008;0.0016;0.0016;0.4751;0.0001;33.1764;0.9919;0.6127;0.155;1;0.7015;0;1;0.0793;0.6127;0;0.0895;1;0.0793;0.6127;0;0.0895;1;0.0793;0.6127;0;0.0895;1;0.0793;0.6127;0;0.0895;101.799;9495.8079;90.317;96.3836;1.349;714.6072;2.9285;5.3601;2.5301;0.3693;198.1392;1.2531;31.8398
"fd";"geo_India_airports";"dashboard/output_dashboard/geo_India_airports/fd.json";67;178;0.9809;27.8146;0.0798;1.0011;7.7136;0.273;0.1177;0.0054;0.4751;0;0.4782;0.1654;0.9154;0.0864;1;0.2985;0;1;0.0793;0.9154;0;0.008;1;0.0793;0.9154;0;0.008;1;0.0793;0.9154;0;0.008;1;0.0793;0.9154;0;0.008;158.1798;8767.1752;89.3192;96.915;2.6843;2308.6715;4.6828;10.812;5.1787;0.3724;398.0861;2.306;78.6602
"sepb";"geo_India_airports";"dashboard/output_dashboard/geo_India_airports/sepb.json";67;178;0.7916;19.6348;0.0673;1.0579;53.0888;0.0084;0.0014;0.0014;0.4751;0.0001;34.1954;1.0334;0.5637;0.1724;1;0.7313;0;1;0.0793;0.5637;0;0.1096;1;0.0793;0.5637;0;0.1096;1;0.0793;0.5637;0;0.1096;1;0.0793;0.5637;0;0.1096;157.9831;9304.6603;89.8855;97.1487;1.3294;696.9931;2.738;5.2745;2.4712;0.3674;201.7462;1.2441;31.7109
"wr";"geo_India_airports";"dashboard/output_dashboard/geo_India_airports/wr.json";67;178;0.6879;20.2416;0.0581;1.0456;41.6172;0.0417;0.0008;0.0002;0.4751;0;19.426;1.7168;0.6739;0.1394;1;0.6418;0;0.9925;0.0802;0.6786;0.0165;0.0662;1;0.0793;0.6739;0;0.0672;1;0.0793;0.6739;0;0.0672;1;0.0793;0.6739;0;0.0672;102.0153;9656.6138;88.927;97.9664;2.1985;1298.4929;3.5944;9.737;4.3752;0.37;320.4432;2.1329;58.6052
"cubu";"geo_Japan_airports";"dashboard/output_dashboard/geo_Japan_airports/cubu.json";62;175;0.3306;8.0343;0.0278;1.0387;44.7108;0.4479;0.2404;0;0.5415;0;19.9713;7.7127;0.2285;0.4474;1;0.9516;0;0.8116;0.1623;0.2839;0.2268;0.3275;1;0.0911;0.2285;0;0.4039;1;0.0911;0.2285;0;0.4039;1;0.0911;0.2285;0;0.4039;103.4317;17438.3736;89.051;99.1669;1.9596;341.475;2.9962;8.9369;3.3908;0.3703;135.6428;1.8823;25.476
"epb";"geo_Japan_airports";"dashboard/output_dashboard/geo_Japan_airports/epb.json";62;175;0.7297;12.9829;0.0601;1.0268;33.028;0.0047;0.0021;0.0017;0.5415;0;16.6124;0.6936;0.3905;0.2856;1;0.8387;0;0.9078;0.1181;0.4218;0.1215;0.1958;1;0.0911;0.3905;0;0.2254;1;0.0911;0.3905;0;0.2254;1;0.0911;0.3905;0;0.2254;104.8865;12291.2121;89.9315;96.6845;1.3874;658.6163;2.9411;6.7639;2.2917;0.3641;157.635;1.2996;28.1064
"fd";"geo_Japan_airports";"dashboard/output_dashboard/geo_Japan_airports/fd.json";62;175;0.8436;17.4457;0.0679;1.0042;17.4077;0.144;0.0558;0.0035;0.5415;0;2.2487;0.2747;0.4544;0.2164;1;0.8548;0;0.8362;0.1223;0.5373;0.2206;0.1098;1;0.0911;0.4544;0;0.1438;1;0.0911;0.4544;0;0.1438;1;0.0911;0.4544;0;0.1438;125.2055;11168.8914;89.6242;100.4796;2.3575;2286.3433;4.5619;10.4761;5.0716;0.3641;464.247;2.8007;81.0218
"sepb";"geo_Japan_airports";"dashboard/output_dashboard/geo_Japan_airports/sepb.json";62;175;0.6969;12.5371;0.0575;1.0354;35.6815;0.0056;0.0025;0.0022;0.5415;0;21.3286;0.8112;0.3948;0.2919;1;0.8226;0;0.9297;0.1134;0.4136;0.0864;0.2076;1;0.0911;0.3948;0;0.2321;1;0.0911;0.3948;0;0.2321;1;0.0911;0.3948;0;0.2321;110.5769;12161.623;88.7775;95.9523;1.2624;666.2934;2.9709;5.4624;2.5039;0.376;176.1169;1.3084;29.9091
"wr";"geo_Japan_airports";"dashboard/output_dashboard/geo_Japan_airports/wr.json";62;175;0.446;10.4114;0.0371;1.046;49.0004;0.051;0.0033;0.0026;0.5415;0;25.5119;2.1333;0.2803;0.3944;1;0.8871;0;0.8491;0.1452;0.3205;0.1723;0.2839;1;0.0911;0.2803;0;0.3422;1;0.0911;0.2803;0;0.3422;1;0.0911;0.2803;0;0.3422;116.271;14613.7121;88.9654;97.7282;2.1839;1291.327;3.9592;9.5587;4.3984;0.3719;382.617;2.4581;59.2716
"cubu";"geo_mafia";"dashboard/output_dashboard/geo_mafia/cubu.json";676;2693;0.4977;1.5017;0.1795;1.0965;28.6244;0.2654;0.1139;0.0017;0.5008;0.5008;19.9573;14.8194;0.1045;0.2264;1;0.9941;0;0.313;0.1771;0.3015;0.7516;0.0503;0.6802;0.0766;0.1616;0.3559;0.1523;0.9171;0.0231;0.122;0.0957;0.2064;0.9824;0.013;0.1103;0.0217;0.2166;1605.9763;202494.42;51.6446;54.4307;26.4862;3150.244;37.4091;118.4454;44.7037;5.2044;0;25.9135;255.7786
"epb";"geo_mafia";"dashboard/output_dashboard/geo_mafia/epb.json";676;2693;0.8128;2.0843;0.2708;1.0656;27.0365;0.0135;0.0047;0.0034;0.5008;0.0001;23.0176;1.527;0.1448;0.1337;1;0.9911;0;0.4041;0.0959;0.3471;0.6798;0.0385;0.7603;0.0395;0.2003;0.2821;0.0959;0.9406;0.0164;0.1617;0.0782;0.1193;0.9898;0.0123;0.1482;0.0147;0.1234;1561.0113;136907.6486;51.436;54.4648;20.6943;11567.8787;44.4903;86.7467;40.5016;5.2242;3459.6691;20.6792;527.4136
"fd";"geo_mafia";"dashboard/output_dashboard/geo_mafia/fd.json";676;2693;0.8052;1.9239;0.2743;1.0147;16.6252;0.2175;0.1018;0.0063;0.5008;0;4.1397;0.4857;0.1914;0.0968;1;0.9867;0;0.4355;0.0703;0.4224;0.6745;0.0271;0.7725;0.0305;0.254;0.2825;0.0675;0.9493;0.0144;0.2083;0.0719;0.0838;0.991;0.0121;0.1961;0.0168;0.0862;1583.7123;122371.7833;51.657;54.9924;35.2535;34791.9433;65.2823;160.254;78.4221;5.2326;7093.5192;35.4798;1200.5045
"sepb";"geo_mafia";"dashboard/output_dashboard/geo_mafia/sepb.json";676;2693;0.83;2.0988;0.2759;1.07;26.2098;0.0143;0.0049;0.0036;0.5008;0.0001;22.1195;1.5769;0.1447;0.1305;1;0.9926;0;0.4082;0.0927;0.3459;0.6766;0.0386;0.7642;0.0375;0.1998;0.2788;0.0947;0.9439;0.0157;0.1617;0.0752;0.1168;0.9894;0.0123;0.1487;0.0154;0.1202;1568.5961;133104.5806;51.2116;54.8639;20.6544;11436.6624;44.9221;86.8378;41.5387;5.2926;3506.3803;20.7667;527.6055
"wr";"geo_mafia";"dashboard/output_dashboard/geo_mafia/wr.json";676;2693;0.5714;1.7133;0.2005;1.0663;25.5302;0.0535;0.0034;0.0022;0.5008;0;13.5395;2.6028;0.1471;0.1482;1;0.9911;0;0.3979;0.1103;0.3377;0.6776;0.0386;0.7542;0.0476;0.1907;0.2789;0.1024;0.9491;0.0172;0.1604;0.0635;0.1331;0.9871;0.0124;0.154;0.02;0.138;1521.5516;156506.9957;51.3952;55.1817;33.8044;19639.4937;56.4892;146.3728;66.3221;5.197;5695.1387;33.8545;901.3398
"cubu";"geo_Oceania_airports";"dashboard/output_dashboard/geo_Oceania_airports/cubu.json";274;572;0.5288;1.9878;0.1032;1.2919;10.0478;0.1615;0.0939;0.0264;0.5319;0.5319;10.3732;25.0809;0.6332;0.0381;1;0.5949;0;0.9322;0.0183;0.6691;0.1215;0.0208;0.9921;0.0155;0.6378;0.0137;0.0236;0.9981;0.0153;0.635;0.0037;0.0239;1;0.0152;0.6332;0;0.0239;318.095;6477.138;16.4931;17.5383;4.4563;438.6551;7.0667;19.4514;7.2718;1.1404;0;4.2262;27.4153
"epb";"geo_Oceania_airports";"dashboard/output_dashboard/geo_Oceania_airports/epb.json";274;572;0.9125;3.0524;0.1619;1.0855;9.4485;0.0054;0.0049;0.0044;0.5319;0.0013;15.1535;1.1838;0.744;0.0284;1;0.4818;0;0.9412;0.018;0.7816;0.1001;0.011;0.981;0.016;0.7587;0.0344;0.0131;0.9931;0.0155;0.7482;0.0111;0.0137;0.9993;0.0153;0.7443;0.0011;0.0139;343.6742;5843.4517;16.2687;17.292;3.5176;1939.9793;8.3914;14.9086;6.9714;1.1423;669.1763;3.4704;88.5017
"fd";"geo_Oceania_airports";"dashboard/output_dashboard/geo_Oceania_airports/fd.json";274;572;0.6017;1.722;0.1204;1.0182;3.8164;0.3511;0.1758;0.0074;0.5319;0.0001;0.8495;0.5147;0.8321;0.0229;1;0.365;0;0.9664;0.0168;0.8499;0.0572;0.0064;0.9968;0.0154;0.8328;0.004;0.0078;1;0.0152;0.8321;0;0.008;1;0.0152;0.8321;0;0.008;337.3446;6892.035;16.5467;17.4141;7.5207;7406.2326;13.624;33.3095;16.2759;1.1558;1467.1869;7.6694;255.1651
"sepb";"geo_Oceania_airports";"dashboard/output_dashboard/geo_Oceania_airports/sepb.json";274;572;0.9024;3.0455;0.1602;1.0822;9.457;0.0046;0.0051;0.0046;0.5319;0.0014;15.421;1.0912;0.745;0.0287;1;0.489;0;0.943;0.0179;0.781;0.0987;0.0115;0.9818;0.0159;0.7593;0.0354;0.0135;0.9925;0.0155;0.7504;0.0126;0.014;0.9991;0.0153;0.7454;0.0014;0.0142;371.2509;5828.1479;16.5403;17.3979;3.0382;1537.2262;7.9341;11.8156;5.6155;1.1451;511.0011;3.0079;85.1705
