"name";"instance";"filename";"n";"m";"inkratio";"mean_occupation_area";"edge_density_distribution";"distortion";"frechet";"directionality";"monotonicity";"projected_monotonicity";"SL_angle";"self_intersections";"mean_edge_length_difference";"directionality_mag";"ambiguity_1";"accuracy_1";"precision_1";"specificity_1";"FPR_1";"ambiguity_2";"accuracy_2";"precision_2";"specificity_2";"FPR_2";"ambiguity_3";"accuracy_3";"precision_3";"specificity_3";"FPR_3";"ambiguity_4";"accuracy_4";"precision_4";"specificity_4";"FPR_4";"ambiguity_5";"accuracy_5";"precision_5";"specificity_5";"FPR_5";"inkratio_t";"ambiguity_t";"mean_occupation_area_t";"edge_density_distribution_t";"distortion_t";"frechet_t";"directionality_t";"monotonicity_t";"projected_monotonicity_t";"SL_angle_t";"self_intersections_t";"mean_edge_length_difference_t";"directionality_mag_t"
"cubu";"geo_gowalla_SF_6";"dashboard/output_dashboard/geo_gowalla_SF_6/cubu.json";862;2674;0.5432;2.4645;0.2084;1.0849;52.4982;0.3466;0.157;0.0008;0.52;0.52;38.2937;10.3864;0.0332;0.3512;1;0.9896;0;0.1414;0.3008;0.2967;0.8782;0.0514;0.4745;0.1668;0.1018;0.5381;0.1871;0.792;0.064;0.0512;0.2133;0.2907;0.9304;0.0257;0.0383;0.0721;0.3292;1720.2532;532645.1566;72.088;76.1979;28.743;6170.5718;43.1111;127.743;51.775;5.2855;0;28.5881;466.4948
"epb";"geo_gowalla_SF_6";"dashboard/output_dashboard/geo_gowalla_SF_6/epb.json";862;2674;0.9442;3.408;0.3292;1.0666;57.0288;0.012;0.0036;0.0025;0.52;0.0001;45.5482;1.3832;0.0875;0.1241;1;0.9872;0;0.2451;0.093;0.4526;0.8175;0.0318;0.5929;0.0401;0.2243;0.4461;0.0855;0.8541;0.0161;0.1291;0.1637;0.1097;0.9565;0.0099;0.0978;0.0501;0.1159;1701.7496;297504.2653;72.8202;77.2681;18.8384;10017.0534;42.8736;77.245;35.8045;5.3082;3241.1945;18.6317;460.1939
"fd";"geo_gowalla_SF_6";"dashboard/output_dashboard/geo_gowalla_SF_6/fd.json";862;2674;0.8925;3.2083;0.3178;1.0194;44.3854;0.1396;0.0495;0.0044;0.52;0;12.292;0.5199;0.0891;0.1313;1;0.9861;0;0.2143;0.107;0.48;0.8506;0.0248;0.5465;0.0544;0.2266;0.4944;0.0781;0.8286;0.0221;0.1315;0.1914;0.1107;0.9442;0.012;0.0995;0.0628;0.1208;1702.3637;276439.4507;82.1261;78.2671;35.1584;34765.1274;64.8632;158.6423;77.7061;5.2774;7233.9194;35.471;1189.4298
"sepb";"geo_gowalla_SF_6";"dashboard/output_dashboard/geo_gowalla_SF_6/sepb.json";862;2674;0.9451;3.3942;0.33;1.0681;56.8907;0.0124;0.0039;0.0028;0.52;0.0001;46.2474;1.4224;0.0864;0.1242;1;0.9872;0;0.2442;0.093;0.449;0.8175;0.0319;0.5946;0.0403;0.2213;0.4432;0.0855;0.8538;0.0164;0.1274;0.163;0.1096;0.9565;0.0101;0.0961;0.0492;0.1159;1841.0564;291481.9784;77.1604;79.7589;18.2762;9880.3856;42.3458;74.4238;34.9724;5.3101;3230.3574;18.2428;454.567
"wr";"geo_gowalla_SF_6";"dashboard/output_dashboard/geo_gowalla_SF_6/wr.json";862;2674;0.603;2.7921;0.2241;1.0592;50.9906;0.0848;0.0064;0.0038;0.52;0;26.7933;3.3665;0.0499;0.2162;1;0.9872;0;0.1714;0.1792;0.3671;0.8602;0.0378;0.5103;0.0937;0.1458;0.5093;0.1245;0.806;0.0366;0.078;0.2032;0.182;0.9364;0.0169;0.055;0.0668;0.2018;1665.7128;425440.7442;72.6495;77.2164;32.3486;19549.7665;54.5535;142.8516;66.0429;5.2972;5855.1774;32.5813;890.5101
"cubu";"geo_gowalla_SF_7";"dashboard/output_dashboard/geo_gowalla_SF_7/cubu.json";735;2030;0.5135;3.8823;0.1791;1.0834;57.3863;0.3401;0.1552;0.0009;0.4854;0.4854;40.5374;10.7045;0.0432;0.3293;1;0.981;0;0.1433;0.2845;0.3424;0.8776;0.0457;0.4278;0.1745;0.1449;0.5857;0.1572;0.7283;0.0786;0.0698;0.2781;0.254;0.8928;0.0341;0.0481;0.1094;0.2988;1230.6707;372596.3879;95.5713;101.9704;21.4441;4189.9009;31.8401;95.856;38.558;4.039;0;21.2233;318.6352
"epb";"geo_gowalla_SF_7";"dashboard/output_dashboard/geo_gowalla_SF_7/epb.json";735;2030;0.9042;5.666;0.2852;1.0592;55.5373;0.0099;0.0024;0.0018;0.4854;0.0001;42.7199;1.1581;0.1319;0.0934;1;0.9755;0;0.2855;0.069;0.5452;0.8061;0.025;0.5703;0.0352;0.3206;0.4912;0.0594;0.8162;0.0169;0.1944;0.2117;0.0779;0.9318;0.0106;0.1476;0.0783;0.0842;1193.7676;217762.6858;94.2848;99.8757;13.5724;7277.6859;31.9664;56.01;26.511;4.22;2246.8457;13.5496;330.3931
"fd";"geo_gowalla_SF_7";"dashboard/output_dashboard/geo_gowalla_SF_7/fd.json";735;2030;0.8928;5.3818;0.2863;1.0126;37.24;0.138;0.053;0.0045;0.4854;0;8.3604;0.4114;0.1233;0.09;1;0.9755;0;0.2457;0.0723;0.5671;0.8393;0.0182;0.5258;0.0416;0.304;0.5311;0.0493;0.7865;0.021;0.1825;0.2402;0.0702;0.9164;0.0126;0.1387;0.0939;0.0786;1248.5175;192529.9137;95.5865;101.392;26.439;26334.4066;49.9079;121.603;58.6677;4.2081;5171.6981;26.9105;908.2587
"sepb";"geo_gowalla_SF_7";"dashboard/output_dashboard/geo_gowalla_SF_7/sepb.json";735;2030;0.909;5.6778;0.2865;1.0636;56.2563;0.0107;0.0031;0.0023;0.4854;0.0001;45.0198;1.2534;0.1291;0.0952;1;0.9742;0;0.2844;0.0702;0.536;0.8033;0.0256;0.5708;0.0358;0.3163;0.4869;0.0606;0.8133;0.0172;0.1928;0.2136;0.0793;0.9303;0.0108;0.1449;0.0789;0.0858;1221.6206;221325.4294;94.526;100.3726;13.1814;7088.373;31.2574;53.3981;24.93;4.0145;2217.051;13.1259;324.547
"wr";"geo_gowalla_SF_7";"dashboard/output_dashboard/geo_gowalla_SF_7/wr.json";735;2030;0.5548;4.3547;0.1907;1.0597;54.8496;0.0828;0.0055;0.0034;0.4856;0;28.9444;3.2971;0.0612;0.1934;1;0.9782;0;0.1758;0.162;0.4167;0.8579;0.0322;0.4611;0.0969;0.1881;0.561;0.0982;0.7475;0.0449;0.0979;0.2632;0.1506;0.8994;0.0213;0.0706;0.1056;0.1745;1279.0222;298125.8368;94.5957;102.4928;24.9813;14864.0137;42.2244;108.9997;50.1707;4.0274;4249.9723;24.7719;672.07
"cubu";"geo_gowalla_SF_9";"dashboard/output_dashboard/geo_gowalla_SF_9/cubu.json";809;2295;0.4958;4.0697;0.1935;1.085;63.8616;0.3541;0.1643;0.0011;0.4992;0.4992;47.0946;10.4344;0.0357;0.3557;1;0.9852;0;0.1436;0.3054;0.3175;0.8744;0.0513;0.4411;0.1844;0.1204;0.571;0.1738;0.7493;0.0776;0.0591;0.2562;0.2814;0.9114;0.029;0.0405;0.0912;0.3303;1405.3981;577479.2306;100.316;106.1275;24.7855;5910.8498;37.1904;109.6745;45.3846;4.5745;0;25.2569;406.8971
"epb";"geo_gowalla_SF_9";"dashboard/output_dashboard/geo_gowalla_SF_9/epb.json";809;2295;0.9105;5.9547;0.3158;1.0508;56.9088;0.0094;0.0031;0.0023;0.4992;0.0001;41.2654;1.1579;0.11;0.0992;1;0.9815;0;0.2748;0.0728;0.4913;0.8032;0.027;0.5847;0.0355;0.2667;0.4685;0.0648;0.8218;0.0157;0.1715;0.2071;0.0848;0.9433;0.0091;0.1293;0.0675;0.0915;1465.1091;260965.3914;101.1939;107.2001;15.2647;8369.488;35.8694;63.7691;29.8128;4.5631;2602.3622;15.4288;385.3521
"fd";"geo_gowalla_SF_9";"dashboard/output_dashboard/geo_gowalla_SF_9/fd.json";809;2295;0.8696;5.5817;0.3091;1.0151;47.7543;0.1414;0.0507;0.0042;0.4992;0;12.5838;0.4292;0.1003;0.1278;1;0.979;0;0.228;0.1049;0.4984;0.8397;0.0234;0.5234;0.0604;0.2517;0.52;0.0685;0.7949;0.0269;0.1493;0.2282;0.1023;0.9313;0.0131;0.1139;0.0784;0.1161;1550.8404;290698.271;100.8375;106.7264;30.1578;29637.3711;55.4776;136.8971;66.3941;4.5254;5753.2098;31.3511;1025.7025
"sepb";"geo_gowalla_SF_9";"dashboard/output_dashboard/geo_gowalla_SF_9/sepb.json";809;2295;0.9176;5.9834;0.3177;1.0542;58.5051;0.0101;0.0031;0.0024;0.4992;0.0001;43.44;1.1768;0.1122;0.1011;1;0.979;0;0.2751;0.0741;0.4908;0.8032;0.0277;0.5896;0.0358;0.2642;0.4635;0.0665;0.8315;0.0154;0.1692;0.1971;0.0871;0.9485;0.0089;0.1299;0.0607;0.0936;1541.4932;269109.479;100.0261;105.7158;15.0864;8017.4239;35.3246;60.5593;28.7929;4.7324;2554.7009;15.132;368.3343
"wr";"geo_gowalla_SF_9";"dashboard/output_dashboard/geo_gowalla_SF_9/wr.json";809;2295;0.5724;4.698;0.2151;1.0631;60.7852;0.0794;0.0063;0.0044;0.4992;0;33.1268;3.443;0.047;0.1994;1;0.9901;0;0.1713;0.1648;0.3916;0.8603;0.0354;0.4733;0.0951;0.1653;0.5472;0.1061;0.7673;0.0403;0.0853;0.2429;0.1613;0.9198;0.017;0.0554;0.0839;0.1847;1555.1646;405115.8948;99.6227;105.5913;27.9458;16818.9232;50.5376;131.4275;57.3168;4.5145;4979.5992;28.0731;766.7558
"cubu";"geo_gowalla_SF2_1";"dashboard/output_dashboard/geo_gowalla_SF2_1/cubu.json";886;3243;0.5122;2.3824;0.1884;1.0869;61.2111;0.3527;0.1653;0.0009;0.4855;0.4855;41.7178;10.4071;0.0262;0.4491;1;0.9932;0;0.136;0.386;0.2402;0.8808;0.0643;0.4888;0.2076;0.077;0.5214;0.2452;0.8176;0.0699;0.0376;0.1869;0.3841;0.9553;0.022;0.0281;0.0458;0.4322;2074.7976;1111703.3305;93.6513;97.8837;34.8179;7076.0934;51.3592;152.9272;61.7862;6.453;0;37.9734;559.1662
"epb";"geo_gowalla_SF2_1";"dashboard/output_dashboard/geo_gowalla_SF2_1/epb.json";886;3243;0.8325;3.227;0.2832;1.0725;64.9111;0.0174;0.0048;0.0034;0.4855;0.0001;51.1972;1.7067;0.0627;0.1998;1;0.9898;0;0.2102;0.1549;0.3702;0.8352;0.0459;0.597;0.0635;0.1638;0.4304;0.1387;0.8752;0.0198;0.0892;0.1361;0.1829;0.9732;0.0102;0.0674;0.0294;0.1925;1992.9836;534143.1611;101.8848;101.3925;25.706;14019.2356;53.9875;105.8524;49.1817;6.3577;4417.4349;25.4929;642.0319
